EPISODE,TITLE,grupos_jerar,grupos_kmeans,grupos_dbscan
S25E07,"""AUTUMN PALETTE""",1,1,1
S25E08,"""CYPRESS SWAMP""",1,1,1
S25E09,"""DOWNSTREAM VIEW""",1,6,1
S25E10,"""JUST BEFORE THE STORM""",4,2,0
S25E11,"""FISHERMAN'S PARADISE""",6,3,6
S25E12,"""DESERT HUES""",4,2,0
S25E13,"""THE PROPERTY LINE""",5,3,1
S26E01,"""IN THE STILLNESS OF MORNING""",1,6,1
S26E02,"""DELIGHTFUL MEADOW HOME""",6,1,1
S26E03,"""FIRST SNOW""",2,4,2
S26E04,"""LAKE IN THE VALLEY""",1,5,0
S26E05,"""TRACE OF SPRING""",1,6,1
S26E06,"""ARCTIC WINTER DAY""",2,4,2
S26E07,"""SNOW BIRCH""",5,3,1
S26E08,"""EARLY AUTUMN""",1,5,0
S26E09,"""TRANQUIL WOODED STREAM""",1,1,1
S26E10,"""PURPLE MOUNTAIN RANGE""",4,2,3
S26E11,"""STORM'S A COMIN'""",4,2,4
S26E12,"""SUNSET AGLOW""",3,5,1
S26E13,"""EVENING AT THE FALLS""",1,6,1
S27E01,"""TWILIGHT BEAUTY""",1,1,0
S27E02,"""ANGLER'S HAVEN""",3,5,1
S27E03,"""RUSTIC WINTER WOODS""",5,3,1
S27E04,"""WILDERNESS FALLS""",3,6,1
S27E05,"""WINTER AT THE FARM""",5,3,1
S27E06,"""DAISIES AT DAWN""",6,3,0
S27E07,"""SPECTACULAR VIEW""",2,4,0
S27E08,"""DAYBREAK""",5,3,1
S27E09,"""ISLAND PARADISE""",4,2,0
S27E10,"""SUNLIGHT IN THE SHADOWS""",1,1,1
S27E11,"""SPLENDOR OF A SNOWY WHITE""",2,4,0
S27E12,"""FOREST RIVER""",1,1,1
S27E13,"""GOLDEN GLOW OF MORNING""",1,1,0
S28E01,"""FISHERMAN'S TRAIL""",3,5,1
S28E02,"""TO A WARM WINTER""",5,3,0
S28E03,"""UNDER PASTEL SKIES""",3,5,1
S28E04,"""GOLDEN RAYS OF SUNLIGHT""",1,1,1
S28E05,"""MAGIC OF FALL""",1,1,1
S28E06,"""GLACIER LAKE""",3,5,1
S28E07,"""THE OLD WEATHERED BARN""",6,1,1
S28E08,"""DEEP FOREST FALLS""",1,1,1
S28E09,"""WINTER'S GRACE""",2,4,0
S28E10,"""SPLENDOR OF AUTUMN""",1,1,1
S28E11,"""TRANQUIL SEAS""",4,2,4
S28E12,"""MOUNTAIN SERENITY""",3,5,1
S28E13,"""HOME BEFORE NIGHTFALL""",6,1,0
S29E01,"""ISLAND IN THE WILDERNESS""",1,5,1
S29E02,"""AUTUMN OVAL""",1,5,0
S29E03,"""SEASONAL PROGRESSION""",2,4,1
S29E04,"""LIGHT AT THE SUMMIT""",1,1,0
S29E05,"""COUNTRYSIDE BARN""",6,1,1
S29E06,"""MOUNTAIN LAKE FALLS""",3,5,1
S29E07,"""CYPRESS CREEK""",1,1,1
S29E08,"""TRAPPER'S CABIN""",2,5,1
S29E09,"""STORM ON THE HORIZON""",4,2,4
S29E10,"""POT 'O POSIES""",4,2,3
S29E11,"""PERFECT WINTER'S DAY""",2,4,2
S29E12,"""AURORA'S DANCE""",5,3,0
S29E13,"""THE WOODMAN'S RETREAT""",3,5,1
S30E01,"""BABBLING BROOK""",1,1,1
S30E02,"""WOODGRAIN VIEW""",1,5,0
S30E03,"""WINTER'S PEACE""",6,3,6
S30E04,"""WILDERNESS TRAIL""",6,1,1
S30E05,"""COPPER WINTER""",1,1,1
S30E06,"""MISTY FOOTHILLS""",3,5,1
S30E07,"""THROUGH THE WINDOW""",5,3,1
S30E08,"""HOME IN THE VALLEY""",6,3,6
S30E09,"""MOUNTAINS OF GRACE""",3,6,1
S30E10,"""SEASIDE HARMONY""",4,2,4
S30E11,"""COLD SPRING DAY""",3,5,1
S30E12,"""EVENING'S GLOW""",1,1,0
S30E13,"""BLUE RIDGE FALLS""",1,6,1
S31E01,"""REFLECTIONS OF CALM""",3,5,1
S31E02,"""BEFORE THE SNOWFALL""",6,6,0
S31E03,"""WINDING STREAM""",1,6,1
S31E04,"""TRANQUILITY COVE""",1,1,1
S31E05,"""CABIN IN THE HOLLOW""",5,3,0
S31E06,"""VIEW FROM CLEAR CREEK""",3,6,1
S31E07,"""BRIDGE TO AUTUMN""",6,1,1
S31E08,"""TRAIL'S END""",6,1,1
S31E09,"""EVERGREEN VALLEY""",3,6,1
S31E10,"""BALMY BEACH""",4,2,4
S31E11,"""LAKE AT THE RIDGE""",3,5,1
S31E12,"""IN THE MIDST OF WINTER""",5,3,0
S31E13,"""WILDERNESS DAY""",1,1,1
