EPISODE,TITLE,grupos_jerar,grupos_kmeans,grupos_dbscan
S16E13,"""WOODED STREAM OVAL""",1,2,0
S17E01,"""GOLDEN MIST OVAL""",1,5,-1
S17E02,"""THE OLD HOME PLACE""",5,2,0
S17E03,"""SOOTHING VISTA""",5,0,0
S17E04,"""STORMY SEAS""",2,3,3
S17E05,"""COUNTRY TIME""",1,2,-1
S17E06,"""A MILD WINTER'S DAY""",3,1,0
S17E07,"""SPECTACULAR WATERFALL""",0,5,0
S17E08,"""VIEW FROM THE PARK""",5,2,0
S17E09,"""LAKE VIEW""",5,2,-1
S17E10,"""OLD COUNTRY MILL""",1,2,-1
S17E11,"""MORNING WALK""",5,2,0
S17E12,"""NATURE'S SPLENDOR""",0,5,0
S17E13,"""MOUNTAIN BEAUTY""",0,0,-1
S18E01,"""HALF-OVAL VIGNETTE""",0,0,0
S18E02,"""ABSOLUTELY AUTUMN""",1,4,0
S18E03,"""MOUNTAIN SECLUSION""",4,1,-1
S18E04,"""CRIMSON OVAL""",1,2,0
S18E05,"""AUTUMN EXHIBITION""",5,2,0
S18E06,"""MAJESTIC PEAKS""",0,0,0
S18E07,"""GOLDEN MORNING MIST""",1,2,0
S18E08,"""WINTER LACE""",3,1,-1
S18E09,"""SEASCAPE FANTASY""",2,3,3
S18E10,"""DOUBLE OVAL STREAM""",1,4,0
S18E11,"""ENCHANTED FOREST""",5,2,0
S18E12,"""SOUTHWEST SERENITY""",2,3,-1
S18E13,"""RIPPLING WATERS""",1,2,0
S19E01,"""SNOWFALL MAGIC""",3,1,0
S19E02,"""QUIET MOUNTAIN LAKE""",0,0,0
S19E03,"""FINAL EMBERS OF SUNLIGHT""",1,2,0
S19E04,"""SNOWY MORN""",3,1,0
S19E05,"""CAMPER'S HAVEN""",0,0,0
S19E06,"""WATERFALL IN THE WOODS""",1,2,0
S19E07,"""COVERED BRIDGE OVAL""",3,1,-1
S19E08,"""SCENIC SECLUSION""",1,5,0
S19E09,"""EBB TIDE""",2,3,3
S19E10,"""AFTER THE RAIN""",5,2,0
S19E11,"""WINTER'S ELEGANCE""",3,1,-1
S19E12,"""EVENING'S PEACE""",3,1,-1
S19E13,"""VALLEY OF TRANQUILITY""",0,5,0
S20E01,"""MYSTIC MOUNTAIN""",0,0,0
S20E02,"""NEW DAY'S DAWN""",5,2,-1
S20E03,"""PASTEL WINTER""",4,1,4
S20E04,"""HAZY DAY""",1,2,0
S20E05,"""DIVINE ELEGANCE""",0,0,0
S20E06,"""CLIFFSIDE""",2,3,3
S20E07,"""AUTUMN FANTASY""",0,5,0
S20E08,"""THE OLD OAK TREE""",1,2,0
S20E09,"""WINTER'S PARADISE""",4,1,4
S20E10,"""DAYS GONE BY""",5,4,-1
S20E11,"""CHANGE OF SEASONS""",0,5,0
S20E12,"""HIDDEN DELIGHT""",1,2,-1
S20E13,"""DOUBLE TAKE""",4,0,0
S21E01,"""VALLEY VIEW""",0,0,0
S21E02,"""TRANQUIL DAWN""",1,2,-1
S21E03,"""ROYAL MAJESTY""",0,5,0
S21E04,"""SERENITY""",1,2,0
S21E05,"""CABIN AT TRAIL'S END""",1,2,-1
S21E06,"""MOUNTAIN RHAPSODY""",4,1,0
S21E07,"""WILDERNESS CABIN""",1,2,5
S21E08,"""BY THE SEA""",2,3,-1
S21E09,"""INDIAN SUMMER""",1,4,0
S21E10,"""BLUE WINTER""",4,1,4
S21E11,"""DESERT GLOW""",2,3,-1
S21E12,"""LONE MOUNTAIN""",0,0,0
S21E13,"""FLORIDA'S GLORY""",2,3,3
S22E01,"""AUTUMN IMAGES""",1,4,0
S22E02,"""HINT OF SPRINGTIME""",0,5,0
S22E03,"""AROUND THE BEND""",1,5,0
S22E04,"""COUNTRYSIDE OVAL""",1,2,-1
S22E05,"""RUSSET WINTER""",3,1,-1
S22E06,"""PURPLE HAZE""",1,4,0
S22E07,"""DIMENSIONS""",0,5,-1
S22E08,"""DEEP WILDERNESS HOME""",1,2,0
S22E09,"""HAVEN IN THE VALLEY""",4,0,-1
S22E10,"""WINTERTIME BLUES""",4,1,4
S22E11,"""PASTEL SEASCAPE""",2,3,-1
S22E12,"""COUNTRY CREEK""",1,5,0
S22E13,"""SILENT FOREST""",1,5,0
S23E01,"""FROSTY WINTER MORN""",3,1,0
S23E02,"""FOREST EDGE""",5,4,0
S23E03,"""MOUNTAIN RIDGE LAKE""",0,0,0
S23E04,"""REFLECTIONS OF GOLD""",1,2,0
S23E05,"""QUIET COVE""",5,4,-1
S23E06,"""RIVER'S PEACE""",1,2,0
S23E07,"""AT DAWN'S LIGHT""",5,4,0
S23E08,"""VALLEY WATERFALL""",0,5,-1
S23E09,"""TOWARD DAY'S END""",1,4,-1
S23E10,"""FALLS IN THE GLEN""",1,5,0
S23E11,"""FROZEN BEAUTY IN VIGNETTE""",3,1,0
S23E12,"""CRIMSON TIDE""",2,3,3
S23E13,"""WINTER BLISS""",4,0,-1
S24E01,"""GRAY MOUNTAIN""",0,5,0
S24E02,"""WAYSIDE POND""",5,2,0
S24E03,"""TETON WINTER""",4,1,-1
S24E04,"""LITTLE HOME IN THE MEADOW""",1,2,-1
S24E05,"""A PRETTY AUTUMN DAY""",0,5,0
S24E06,"""MIRRORED IMAGES""",0,0,0
S24E07,"""BACK COUNTRY""",5,4,0
S24E08,"""GRACEFUL WATERFALL""",1,2,0
S24E09,"""ICY LAKE""",3,1,-1
S24E10,"""ROWBOAT ON THE BEACH""",2,3,-1
S24E11,"""PORTRAIT OF WINTER""",4,0,0
S24E12,"""THE FOOTBRIDGE""",1,2,0
S24E13,"""SNOWBOUND CABIN""",3,1,0
S25E01,"""HIDE-A-WAY COVE""",0,0,0
S25E02,"""ENCHANTED FALLS OVAL""",1,2,0
S25E03,"""NOT QUITE SPRING""",4,1,0
S25E04,"""SPLASHES OF AUTUMN""",1,2,0
S25E05,"""SUMMER IN THE MOUNTAIN""",0,0,0
S25E06,"""ORIENTAL FALLS""",1,4,-1
S25E07,"""AUTUMN PALETTE""",5,2,0
S25E08,"""CYPRESS SWAMP""",5,2,0
S25E09,"""DOWNSTREAM VIEW""",1,5,0
S25E10,"""JUST BEFORE THE STORM""",2,3,-1
S25E11,"""FISHERMAN'S PARADISE""",1,2,5
S25E12,"""DESERT HUES""",2,3,-1
S25E13,"""THE PROPERTY LINE""",3,1,0
S26E01,"""IN THE STILLNESS OF MORNING""",1,4,0
S26E02,"""DELIGHTFUL MEADOW HOME""",5,2,0
S26E03,"""FIRST SNOW""",4,1,1
S26E04,"""LAKE IN THE VALLEY""",5,0,-1
S26E05,"""TRACE OF SPRING""",1,4,0
S26E06,"""ARCTIC WINTER DAY""",4,1,1
S26E07,"""SNOW BIRCH""",3,1,0
S26E08,"""EARLY AUTUMN""",1,0,-1
S26E09,"""TRANQUIL WOODED STREAM""",1,2,0
S26E10,"""PURPLE MOUNTAIN RANGE""",2,3,2
S26E11,"""STORM'S A COMIN'""",2,3,3
S26E12,"""SUNSET AGLOW""",0,0,0
S26E13,"""EVENING AT THE FALLS""",1,5,0
S27E01,"""TWILIGHT BEAUTY""",1,2,-1
S27E02,"""ANGLER'S HAVEN""",0,0,0
S27E03,"""RUSTIC WINTER WOODS""",3,1,0
S27E04,"""WILDERNESS FALLS""",0,5,0
S27E05,"""WINTER AT THE FARM""",3,1,0
S27E06,"""DAISIES AT DAWN""",1,2,-1
S27E07,"""SPECTACULAR VIEW""",4,0,-1
S27E08,"""DAYBREAK""",3,1,0
S27E09,"""ISLAND PARADISE""",2,3,-1
S27E10,"""SUNLIGHT IN THE SHADOWS""",1,4,0
S27E11,"""SPLENDOR OF A SNOWY WHITE""",4,1,-1
S27E12,"""FOREST RIVER""",1,2,0
S27E13,"""GOLDEN GLOW OF MORNING""",1,2,-1
S28E01,"""FISHERMAN'S TRAIL""",0,0,0
S28E02,"""TO A WARM WINTER""",3,1,-1
S28E03,"""UNDER PASTEL SKIES""",4,0,0
S28E04,"""GOLDEN RAYS OF SUNLIGHT""",1,4,0
S28E05,"""MAGIC OF FALL""",3,2,0
S28E06,"""GLACIER LAKE""",0,0,0
S28E07,"""THE OLD WEATHERED BARN""",5,2,0
S28E08,"""DEEP FOREST FALLS""",1,4,0
S28E09,"""WINTER'S GRACE""",4,1,-1
S28E10,"""SPLENDOR OF AUTUMN""",5,2,0
S28E11,"""TRANQUIL SEAS""",2,3,3
S28E12,"""MOUNTAIN SERENITY""",0,0,0
S28E13,"""HOME BEFORE NIGHTFALL""",1,2,-1
S29E01,"""ISLAND IN THE WILDERNESS""",1,4,0
S29E02,"""AUTUMN OVAL""",1,0,-1
S29E03,"""SEASONAL PROGRESSION""",4,0,0
S29E04,"""LIGHT AT THE SUMMIT""",5,2,-1
S29E05,"""COUNTRYSIDE BARN""",5,2,0
S29E06,"""MOUNTAIN LAKE FALLS""",0,0,0
S29E07,"""CYPRESS CREEK""",1,2,0
S29E08,"""TRAPPER'S CABIN""",4,0,0
S29E09,"""STORM ON THE HORIZON""",2,3,3
S29E10,"""POT 'O POSIES""",2,3,2
S29E11,"""PERFECT WINTER'S DAY""",4,1,1
S29E12,"""AURORA'S DANCE""",3,1,-1
S29E13,"""THE WOODMAN'S RETREAT""",0,0,0
S30E01,"""BABBLING BROOK""",1,4,0
S30E02,"""WOODGRAIN VIEW""",5,0,-1
S30E03,"""WINTER'S PEACE""",1,1,5
S30E04,"""WILDERNESS TRAIL""",5,4,0
S30E05,"""COPPER WINTER""",5,2,0
S30E06,"""MISTY FOOTHILLS""",0,0,0
S30E07,"""THROUGH THE WINDOW""",3,1,0
S30E08,"""HOME IN THE VALLEY""",1,2,5
S30E09,"""MOUNTAINS OF GRACE""",0,5,0
S30E10,"""SEASIDE HARMONY""",2,3,3
S30E11,"""COLD SPRING DAY""",0,0,0
S30E12,"""EVENING'S GLOW""",1,2,-1
S30E13,"""BLUE RIDGE FALLS""",0,5,0
S31E01,"""REFLECTIONS OF CALM""",0,0,0
S31E02,"""BEFORE THE SNOWFALL""",1,4,-1
S31E03,"""WINDING STREAM""",1,5,0
S31E04,"""TRANQUILITY COVE""",5,2,0
S31E05,"""CABIN IN THE HOLLOW""",3,1,-1
S31E06,"""VIEW FROM CLEAR CREEK""",0,5,0
S31E07,"""BRIDGE TO AUTUMN""",5,2,0
S31E08,"""TRAIL'S END""",5,2,0
S31E09,"""EVERGREEN VALLEY""",0,5,0
S31E10,"""BALMY BEACH""",2,3,3
S31E11,"""LAKE AT THE RIDGE""",0,0,0
S31E12,"""IN THE MIDST OF WINTER""",3,1,-1
S31E13,"""WILDERNESS DAY""",5,2,0
